lon1,lat1,lon2,lat2,n
-9.1393366,38.7222524,6.9602786,50.937531,50
-9.1393366,38.7222524,33.3822764,35.1855659,50
-9.0567905,53.270668,2.3522219,48.856614,50
-5.93012,54.597285,2.3522219,48.856614,50
-3.7037902,40.4167754,25.2796514,54.6871555,50
-3.7037902,40.4167754,26.729006300000002,58.3776252,50
-1.890401,52.486243,12.4963655,41.9027835,50
-1.5490774,53.8007554,-3.7037902,40.4167754,50
-0.1277583,51.5073509,-2.9915726,53.4083714,50
-0.1277583,51.5073509,6.5665018,53.2193835,50
-0.1277583,51.5073509,34.7817676,32.0852999,50
2.130544,48.825415,2.1734035,41.3850639,50
4.7005176,50.8798438,8.541694,47.3768866,50
4.8951679,52.3702157,7.6868565,45.070312,50
6.9602786,50.937531,9.1829321,48.7758459,50
8.4036527,49.0068901,9.1829321,48.7758459,50
8.4036527,49.0068901,9.1859243,45.4654219,50
10.7522454,59.9138688,7.0982068,50.73743,50
11.5819806,48.1351253,11.6652116,48.0640543,50
11.5819806,48.1351253,34.989571,32.7940463,50
11.97456,57.70887,19.040235,47.497912,50
12.4949429,55.763516,23.7275388,37.9838096,50
13.404954,52.5200066,8.946256,44.4056499,50
13.7372621,51.0504088,16.3738189,48.2081743,50
14.4378005,50.0755381,32.8597419,39.9333635,50
14.5057515,46.0569465,33.3822764,35.1855659,50
17.1077477,48.1485965,18.0685808,59.3293235,50
22.9444191,40.6400629,4.3517103,50.8503396,50
24.938379,60.1698557,6.9602786,50.937531,50
-1.9812313,43.318334,16.3738189,48.2081743,51
-1.7797176,51.5557739,2.1734035,41.3850639,51
-0.1277583,51.5073509,8.8016937,53.0792962,51
-0.1277583,51.5073509,9.0576448,48.5216364,51
-0.1277583,51.5073509,24.948073,60.1698566,51
0.121817,52.205337,6.9602786,50.937531,51
1.297355,52.6308859,2.3522219,48.856614,51
2.1734035,41.3850639,4.3570677,52.0115769,51
2.1734035,41.3850639,8.946256,44.4056499,51
2.26851,48.884831,2.3522219,48.856614,51
2.293275,48.925525,2.3522219,48.856614,51
4.7005176,50.8798438,4.8951679,52.3702157,51
4.7005176,50.8798438,6.6322734,46.5196535,51
4.8951679,52.3702157,5.6653948,51.9691868,51
10.3950528,63.4305149,9.1859243,45.4654219,51
10.7522454,59.9138688,7.4474468,46.9479739,51
11.97456,57.70887,6.0838868,50.7753455,51
14.332644,40.901975,16.3738189,48.2081743,51
14.5057515,46.0569465,32.8597419,39.9333635,51
16.3738189,48.2081743,8.946256,44.4056499,51
21.0122287,52.2296756,7.6868565,45.070312,51
23.7275388,37.9838096,7.6868565,45.070312,51
26.729006300000002,58.3776252,4.3517103,50.8503396,51
-2.2426305,53.4807593,0.121817,52.205337,52
-2.2426305,53.4807593,9.1859243,45.4654219,52
-1.9812313,43.318334,23.7275388,37.9838096,52
-1.470085,53.381129,-3.7037902,40.4167754,52
-0.1277583,51.5073509,5.6909725,50.8513682,52
-0.1277583,51.5073509,7.6261347,51.9606649,52
-0.1277583,51.5073509,24.7535746,59.4369608,52
0.121817,52.205337,4.7005176,50.8798438,52
2.3522219,48.856614,7.0115552,51.4556432,52
4.3006999,52.0704978,7.4474468,46.9479739,52
4.3006999,52.0704978,9.1829321,48.7758459,52
4.3517103,50.8503396,6.1431577,46.2043907,52
5.1214201,52.0907374,9.1859243,45.4654219,52
8.541694,47.3768866,8.6724335,49.3987524,52
10.202726,56.1460465,11.5819806,48.1351253,52
10.3950528,63.4305149,4.3006999,52.0704978,52
11.5819806,48.1351253,6.3639119,50.9224226,52
11.5819806,48.1351253,15.6213727,58.410807,52
11.5819806,48.1351253,25.1442126,35.3387352,52
12.4963655,41.9027835,5.36978,43.296482,52
12.4963655,41.9027835,8.6821267,50.1109221,52
13.404954,52.5200066,6.6322734,46.5196535,52
13.404954,52.5200066,9.9936818,53.5510846,52
14.332644,40.901975,14.5057515,46.0569465,52
14.4378005,50.0755381,6.9602786,50.937531,52
15.981919,45.8150108,23.7275388,37.9838096,52
16.3738189,48.2081743,8.6724335,49.3987524,52
19.040235,47.497912,7.6868565,45.070312,52
19.040235,47.497912,9.1829321,48.7758459,52
25.2796514,54.6871555,4.3517103,50.8503396,52
26.1025384,44.4267674,6.9602786,50.937531,52
-1.7797176,51.5557739,23.7275388,37.9838096,53
-1.470085,53.381129,2.1734035,41.3850639,53
-0.1277583,51.5073509,23.019646,40.5485201,53
2.1734035,41.3850639,4.3006999,52.0704978,53
2.3522219,48.856614,5.5796662,50.6325574,53
2.3522219,48.856614,23.019646,40.5485201,53
4.8951679,52.3702157,9.9936818,53.5510846,53
8.6724335,49.3987524,9.1859243,45.4654219,53
10.202726,56.1460465,12.4963655,41.9027835,53
10.4016888,43.7228386,2.1734035,41.3850639,53
10.7522454,59.9138688,6.9602786,50.937531,53
11.1217486,46.0747793,11.5819806,48.1351253,53
11.1217486,46.0747793,12.4963655,41.9027835,53
11.5819806,48.1351253,5.8372264,51.8125626,53
11.97456,57.70887,15.439504,47.070714,53
12.4949429,55.763516,16.3738189,48.2081743,53
12.4963655,41.9027835,4.6615332,52.7645968,53
12.4963655,41.9027835,23.019646,40.5485201,53
15.439504,47.070714,2.1734035,41.3850639,53
18.0685808,59.3293235,26.729006300000002,58.3776252,53
19.040235,47.497912,8.541694,47.3768866,53
24.1051864,56.9496487,26.1025384,44.4267674,53
32.8597419,39.9333635,7.4474468,46.9479739,53
-9.1393366,38.7222524,7.0982068,50.73743,54
-8.6291053,41.1579438,4.3517103,50.8503396,54
-3.7037902,40.4167754,11.1217486,46.0747793,54
-3.7037902,40.4167754,11.2558136,43.7695604,54
-0.1277583,51.5073509,-8.4863157,51.8968917,54
-0.1277583,51.5073509,-1.1581086,52.9547832,54
-0.1277583,51.5073509,11.8767611,45.4064349,54
2.1734035,41.3850639,6.9602786,50.937531,54
2.1734035,41.3850639,9.1829321,48.7758459,54
2.3522219,48.856614,8.2472526,49.9928617,54
4.3517103,50.8503396,5.4697225,51.441642,54
4.3517103,50.8503396,7.5353625,45.0057265,54
4.3570677,52.0115769,4.7005176,50.8798438,54
6.6322734,46.5196535,8.541694,47.3768866,54
10.3950528,63.4305149,18.0685808,59.3293235,54
11.2558136,43.7695604,4.3517103,50.8503396,54
11.5819806,48.1351253,6.5665018,53.2193835,54
11.5819806,48.1351253,8.6511929,49.8728253,54
11.5819806,48.1351253,33.3822764,35.1855659,54
11.97456,57.70887,9.1829321,48.7758459,54
12.5683371,55.6760968,2.1734035,41.3850639,54
12.5683371,55.6760968,9.1859243,45.4654219,54
13.404954,52.5200066,5.6653948,51.9691868,54
13.404954,52.5200066,9.1829321,48.7758459,54
14.332644,40.901975,23.7275388,37.9838096,54
14.5057515,46.0569465,15.981919,45.8150108,54
16.3738189,48.2081743,6.1431577,46.2043907,54
16.3738189,48.2081743,6.6322734,46.5196535,54
23.7275388,37.9838096,25.1442126,35.3387352,54
24.6559001,60.2054911,8.4036527,49.0068901,54
-3.7037902,40.4167754,-8.6291053,41.1579438,55
-3.7037902,40.4167754,5.3220544,60.3912628,55
-3.7037902,40.4167754,10.202726,56.1460465,55
-1.890401,52.486243,-3.7037902,40.4167754,55
-1.2577263,51.7520209,8.6724335,49.3987524,55
-0.4431618,39.5037093,11.5819806,48.1351253,55
-0.3762881,39.4699075,23.7275388,37.9838096,55
-0.1277583,51.5073509,-1.61778,54.978252,55
