lon,lat,address,city_contribution
-80.244216,36.0998596,"Winston-Salem, NC, USA",581020
-80.1917902,25.7616798,"Miami, FL, USA",63959.25
-80.0533746,26.7153424,"West Palm Beach, FL, USA",10000
-79.9223592,-2.1709979,"Guayaquil, Ecuador",231470
-79.8660914,43.2500208,"Hamilton, ON, Canada",118397.92
-79.6441198,43.5890452,"Mississauga, ON, Canada",118585.75
-79.4028639,9.1011785,"Panama City, Panama",370436
-79.3831843,43.653226,"Toronto, ON, Canada",2530242.27
-79.2112769,-4.0078909,"Loja, Ecuador",221249
-79.0558445,35.9131996,"Chapel Hill, NC, USA",287184
-79.0215336,-8.1090524,"Trujillo, Peru",34240
-79.0058965,-2.9001285,"Cuenca, Ecuador",407840
-78.898619,35.9940329,"Durham, NC, USA",1909411.88
-78.8636402,35.8991678,"Research Triangle Park, Durham, NC, USA",556520
-78.6133589,42.7678376,"East Aurora, NY 14052, USA",40000
-78.5127855,-7.1617465,"Cajamarca, Peru",250555
-78.4766781,38.0293059,"Charlottesville, VA, USA",184836
-78.4678382,-0.1806532,"Quito, Ecuador",914411.23
-77.9447102,34.2257255,"Wilmington, NC, USA",258000
-77.6109219,43.16103,"Rochester, NY, USA",658147.86
-77.1527578,39.0839973,"Rockville, MD, USA",932076
-77.0469214,38.8048355,"Alexandria, VA, USA",88422.13
-77.0427934,-12.046374,"Lima District, Peru",2735927.64
-77.0368707,38.9071923,"Washington, DC, USA",6282339.69
-77.0197212,3.8830471,"Buenaventura, Valle del Cauca, Colombia",26552
-76.9951041,-12.0972833,"San Borja, Peru",81345
-76.97192,39.0031656,"Adelphi, MD, USA",523660
-76.9074739,39.0348317,"Beltsville, MD, USA",147080
-76.8099041,18.0178743,"Kingston, Jamaica",1281461
-76.6121893,39.2903848,"Baltimore, MD, USA",1430408.25
-76.5319854,3.4516467,"Cali, Valle del Cauca, Colombia",402181.6
-76.5018807,42.4439614,"Ithaca, NY, USA",916483.8
-76.4859544,44.2311717,"Kingston, ON, Canada",641268
-75.6971931,45.4215296,"Ottawa, ON, Canada",1659152.35
-75.5873636,6.1696109,"Envigado, Antioquia, Colombia",145877
-75.5812119,6.244203,"Medellin, Antioquia, Colombia",252210
-75.5668166,39.6620397,"New Castle, DE 19720, USA",69978
-75.5397878,39.7390721,"Wilmington, DE, USA",80811
-75.3704579,40.6259316,"Bethlehem, PA, USA",1508999.75
-75.242438,4.444676,"Ibagué, Ibague, Tolima, Colombia",274800
-75.1652215,39.9525839,"Philadelphia, PA, USA",2572465.66
-74.6672226,40.3572976,"Princeton, NJ, USA",72600
-74.4818698,40.8395922,"Morris Plains, NJ 07950, USA",235800
-74.4518188,40.4862157,"New Brunswick, NJ, USA",250030
-74.2765441,40.9253725,"Wayne, NJ 07470, USA",290940.8
